VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,2025-12-01T00:37:08.000+05:30,2025-12-01T00:51:10.000+05:30,1,2.4,1,N,140,48,1,14.2,4.25,0.5,4.0,0.0,1.0,23.95,2.5,0.0,0.75
2,2025-12-01T00:03:54.000+05:30,2025-12-01T00:19:18.000+05:30,1,8.37,1,N,138,262,1,33.1,6.0,0.5,7.77,6.94,1.0,59.56,2.5,1.75,0.0
2,2025-12-01T00:40:50.000+05:30,2025-12-01T01:06:54.000+05:30,1,15.26,1,N,132,255,1,57.6,1.0,0.5,12.02,0.0,1.0,73.87,0.0,1.75,0.0
1,2025-12-01T00:21:30.000+05:30,2025-12-01T00:49:35.000+05:30,2,18.4,2,N,132,79,1,70.0,5.0,0.5,10.0,0.0,1.0,86.5,2.5,1.75,0.75
2,2025-12-01T00:00:24.000+05:30,2025-12-01T00:03:34.000+05:30,1,0.52,1,N,239,238,1,5.8,1.0,0.5,1.62,0.0,1.0,12.42,2.5,0.0,0.0
1,2025-12-01T00:11:36.000+05:30,2025-12-01T00:33:17.000+05:30,1,0.0,1,N,138,82,1,16.3,7.75,0.5,5.1,0.0,1.0,30.65,0.0,1.75,0.0
2,2025-11-30T23:59:23.000+05:30,2025-12-01T00:12:43.000+05:30,1,2.59,1,N,142,263,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,0.0
2,2025-12-01T00:18:25.000+05:30,2025-12-01T00:30:09.000+05:30,1,2.22,1,N,141,238,1,13.5,1.0,0.5,2.0,0.0,1.0,20.5,2.5,0.0,0.0
2,2025-12-01T00:54:33.000+05:30,2025-12-01T01:22:25.000+05:30,1,9.06,1,N,48,106,1,38.0,1.0,0.5,11.53,13.88,1.0,69.16,2.5,0.0,0.75
2,2025-12-01T00:28:35.000+05:30,2025-12-01T00:59:37.000+05:30,1,18.02,1,N,132,145,1,69.5,1.0,0.5,14.75,0.0,1.0,88.5,0.0,1.75,0.0
2,2025-12-01T00:47:23.000+05:30,2025-12-01T01:12:23.000+05:30,1,15.98,1,N,132,80,1,60.4,1.0,0.5,9.0,0.0,1.0,73.65,0.0,1.75,0.0
2,2025-12-01T00:28:32.000+05:30,2025-12-01T00:37:16.000+05:30,1,1.73,1,N,229,50,1,11.4,1.0,0.5,5.14,0.0,1.0,22.29,2.5,0.0,0.75
1,2025-12-01T00:07:12.000+05:30,2025-12-01T00:26:23.000+05:30,1,4.3,1,N,114,141,1,19.8,4.25,0.5,2.0,0.0,1.0,27.55,2.5,0.0,0.75
2,2025-12-01T00:59:48.000+05:30,2025-12-01T01:09:00.000+05:30,2,1.79,1,N,79,261,1,11.4,1.0,0.5,2.85,0.0,1.0,20.0,2.5,0.0,0.75
2,2025-12-01T00:39:30.000+05:30,2025-12-01T00:58:58.000+05:30,5,12.54,1,N,132,252,1,47.8,1.0,0.5,15.62,0.0,1.0,67.67,0.0,1.75,0.0
2,2025-12-01T00:16:09.000+05:30,2025-12-01T00:27:26.000+05:30,3,4.14,1,N,138,7,1,19.1,6.0,0.5,5.67,0.0,1.0,34.02,0.0,1.75,0.0
2,2025-12-01T00:46:10.000+05:30,2025-12-01T00:48:45.000+05:30,1,0.33,1,N,263,236,1,4.4,1.0,0.5,3.04,0.0,1.0,13.19,2.5,0.0,0.75
2,2025-12-01T00:38:47.000+05:30,2025-12-01T01:09:13.000+05:30,1,19.13,2,N,132,113,1,70.0,0.0,0.5,0.0,0.0,1.0,76.5,2.5,1.75,0.75
2,2025-12-01T00:49:12.000+05:30,2025-12-01T01:17:25.000+05:30,1,18.07,2,N,132,90,1,70.0,0.0,0.5,16.34,6.94,1.0,99.78,2.5,1.75,0.75
2,2025-12-01T00:12:58.000+05:30,2025-12-01T00:32:48.000+05:30,1,10.54,1,N,138,79,1,41.5,6.0,0.5,10.45,0.0,1.0,64.45,2.5,1.75,0.75
2,2025-12-01T00:02:08.000+05:30,2025-12-01T00:10:06.000+05:30,1,1.14,1,N,74,41,2,10.0,1.0,0.5,0.0,0.0,1.0,12.5,0.0,0.0,0.0
1,2025-12-01T00:04:11.000+05:30,2025-12-01T00:19:18.000+05:30,1,8.5,1,N,138,170,1,33.1,11.0,0.5,8.0,6.94,1.0,60.54,2.5,1.75,0.75
