VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
1,Wed Oct 01 00:15:32 UTC 2025,Wed Oct 01 01:04:03 UTC 2025,1,17.2,2,N,132,107,1,70.0,5.0,0.5,0.0,6.94,1.0,83.44,2.5,1.75,0.75
7,Wed Oct 01 00:00:08 UTC 2025,Wed Oct 01 00:00:08 UTC 2025,1,5.0,1,N,107,225,1,28.2,0.0,0.5,8.49,0.0,1.0,42.44,2.5,0.0,0.75
2,Wed Oct 01 00:08:54 UTC 2025,Wed Oct 01 00:14:44 UTC 2025,1,2.75,1,N,263,229,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
1,Wed Oct 01 00:58:48 UTC 2025,Wed Oct 01 01:04:40 UTC 2025,1,1.3,1,N,211,231,2,7.9,4.25,0.5,0.0,0.0,1.0,13.65,2.5,0.0,0.75
2,Wed Oct 01 00:39:51 UTC 2025,Wed Oct 01 00:49:40 UTC 2025,1,2.88,1,N,230,151,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75
1,Wed Oct 01 00:30:54 UTC 2025,Wed Oct 01 00:37:50 UTC 2025,1,1.6,1,N,237,142,2,9.3,3.5,0.5,0.0,0.0,1.0,14.3,2.5,0.0,0.0
2,Wed Oct 01 00:10:12 UTC 2025,Wed Oct 01 00:17:29 UTC 2025,1,2.81,1,N,142,166,1,12.8,1.0,0.5,3.56,0.0,1.0,21.36,2.5,0.0,0.0
2,Wed Oct 01 00:48:19 UTC 2025,Wed Oct 01 01:01:02 UTC 2025,1,2.17,1,N,230,246,1,13.5,1.0,0.5,0.0,0.0,1.0,19.25,2.5,0.0,0.75
2,Wed Oct 01 00:08:44 UTC 2025,Wed Oct 01 00:24:17 UTC 2025,1,3.71,1,N,140,7,1,19.1,1.0,0.5,6.21,0.0,1.0,31.06,2.5,0.0,0.75
2,Wed Oct 01 00:25:23 UTC 2025,Wed Oct 01 00:33:02 UTC 2025,1,1.2,1,N,234,249,2,8.6,1.0,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75
1,Wed Oct 01 00:25:43 UTC 2025,Wed Oct 01 00:42:51 UTC 2025,1,3.1,1,N,231,230,2,18.4,4.25,0.5,0.0,0.0,1.0,24.15,2.5,0.0,0.75
2,Wed Oct 01 00:50:07 UTC 2025,Wed Oct 01 00:56:14 UTC 2025,2,0.69,1,N,33,65,2,7.2,1.0,0.5,0.0,0.0,1.0,9.7,0.0,0.0,0.0
2,Wed Oct 01 00:08:03 UTC 2025,Wed Oct 01 00:18:53 UTC 2025,1,1.1,1,N,100,229,2,10.0,1.0,0.5,0.0,0.0,1.0,15.75,2.5,0.0,0.75
2,Wed Oct 01 00:44:12 UTC 2025,Wed Oct 01 00:57:02 UTC 2025,1,1.41,1,N,164,246,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75
1,Wed Oct 01 00:58:59 UTC 2025,Wed Oct 01 01:02:25 UTC 2025,1,1.8,1,N,137,232,1,9.3,4.25,0.5,3.75,0.0,1.0,18.8,2.5,0.0,0.75
