VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,pickup_date,dropoff_date,pickup_hour,dropoff_hour,pickup_month,pickup_day_of_week,pickup_day_name,trip_duration_minutes,fare_per_mile
1,2025-12-01T00:37:08.000+05:30,2025-12-01T00:51:10.000+05:30,1,2.4,1,N,140,48,1,14.2,4.25,0.5,4.0,0.0,1.0,23.95,2.5,0.0,0.75,2025-12-01,2025-12-01,0,0,12,2,Monday,14.03,5.92
2,2025-12-01T00:03:54.000+05:30,2025-12-01T00:19:18.000+05:30,1,8.37,1,N,138,262,1,33.1,6.0,0.5,7.77,6.94,1.0,59.56,2.5,1.75,0.0,2025-12-01,2025-12-01,0,0,12,2,Monday,15.4,3.95
2,2025-12-01T00:40:50.000+05:30,2025-12-01T01:06:54.000+05:30,1,15.26,1,N,132,255,1,57.6,1.0,0.5,12.02,0.0,1.0,73.87,0.0,1.75,0.0,2025-12-01,2025-12-01,0,1,12,2,Monday,26.07,3.77
1,2025-12-01T00:21:30.000+05:30,2025-12-01T00:49:35.000+05:30,2,18.4,2,N,132,79,1,70.0,5.0,0.5,10.0,0.0,1.0,86.5,2.5,1.75,0.75,2025-12-01,2025-12-01,0,0,12,2,Monday,28.08,3.8
2,2025-12-01T00:00:24.000+05:30,2025-12-01T00:03:34.000+05:30,1,0.52,1,N,239,238,1,5.8,1.0,0.5,1.62,0.0,1.0,12.42,2.5,0.0,0.0,2025-12-01,2025-12-01,0,0,12,2,Monday,3.17,11.15
1,2025-12-01T00:11:36.000+05:30,2025-12-01T00:33:17.000+05:30,1,0.0,1,N,138,82,1,16.3,7.75,0.5,5.1,0.0,1.0,30.65,0.0,1.75,0.0,2025-12-01,2025-12-01,0,0,12,2,Monday,21.68,
2,2025-11-30T23:59:23.000+05:30,2025-12-01T00:12:43.000+05:30,1,2.59,1,N,142,263,1,14.9,1.0,0.5,3.98,0.0,1.0,23.88,2.5,0.0,0.0,2025-11-30,2025-12-01,23,0,11,1,Sunday,13.33,5.75
2,2025-12-01T00:18:25.000+05:30,2025-12-01T00:30:09.000+05:30,1,2.22,1,N,141,238,1,13.5,1.0,0.5,2.0,0.0,1.0,20.5,2.5,0.0,0.0,2025-12-01,2025-12-01,0,0,12,2,Monday,11.73,6.08
2,2025-12-01T00:54:33.000+05:30,2025-12-01T01:22:25.000+05:30,1,9.06,1,N,48,106,1,38.0,1.0,0.5,11.53,13.88,1.0,69.16,2.5,0.0,0.75,2025-12-01,2025-12-01,0,1,12,2,Monday,27.87,4.19
2,2025-12-01T00:28:35.000+05:30,2025-12-01T00:59:37.000+05:30,1,18.02,1,N,132,145,1,69.5,1.0,0.5,14.75,0.0,1.0,88.5,0.0,1.75,0.0,2025-12-01,2025-12-01,0,0,12,2,Monday,31.03,3.86
